"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00083367","3.0","ERS1370020","MGYS00001282","metagenomic",,"ERR1662473",
"MGYA00103970","3.0","ERS714917","MGYS00001608","metagenomic",,"ERR868036",
"MGYA00126403","3.0","SRS085735","MGYS00000355","metagenomic",,"SRR062208",
"MGYA00133852","3.0","ERS490180","MGYS00001918","metagenomic",,"ERR594389",
"MGYA00083168","3.0","ERS1370018","MGYS00001282","metagenomic",,"ERR1662211",
"MGYA00134829","3.0","SRS981281","MGYS00001932","metagenomic",,"SRR2090129",
"MGYA00083106","3.0","ERS1370020","MGYS00001282","metagenomic",,"ERR1662496",
"MGYA00083379","3.0","ERS1370025","MGYS00001282","metagenomic",,"ERR1662327",
"MGYA00103348","3.0","ERS1568964","MGYS00000991","metagenomic",,"ERR1855268",
"MGYA00133881","3.0","ERS493835","MGYS00001918","metagenomic",,"ERR599365",
"MGYA00133838","3.0","ERS488959","MGYS00001918","metagenomic",,"ERR599360",
"MGYA00104145","3.0","ERS614325","MGYS00001609","metagenomic",,"ERR694201",
"MGYA00133874","3.0","ERS488836","MGYS00001918","metagenomic",,"ERR594399",
"MGYA00083409","3.0","ERS1370015","MGYS00001282","metagenomic",,"ERR1662434",
"MGYA00103998","3.0","ERS714917","MGYS00001608","metagenomic",,"ERR868048",
"MGYA00102597","3.0","SRS1043996","MGYS00001539","metagenomic",,"SRR2135730",
"MGYA00104084","3.0","ERS614331","MGYS00001609","metagenomic",,"ERR694174",
"MGYA00083350","3.0","ERS1370015","MGYS00001282","metagenomic",,"ERR1662436",
"MGYA00103351","3.0","ERS1568982","MGYS00000991","metagenomic",,"ERR1855269",
"MGYA00100639","3.0","ERS1286108","MGYS00001512","metagenomic",,"ERR1560023",
"MGYA00083154","3.0","ERS1370024","MGYS00001282","metagenomic",,"ERR1662280",
"MGYA00133905","3.0","ERS492797","MGYS00001918","metagenomic",,"ERR599348",
"MGYA00126446","3.0","SRS085696","MGYS00000355","metagenomic",,"SRR062169",
"MGYA00084044","3.0","ERS1418475","MGYS00001291","metagenomic",,"ERR1698984",
"MGYA00104160","3.0","ERS614331","MGYS00001609","metagenomic",,"ERR694161",
"MGYA00134795","3.0","SRS981320","MGYS00001932","metagenomic",,"SRR2090073",
"MGYA00083332","3.0","ERS1370013","MGYS00001282","metagenomic",,"ERR1662181",
"MGYA00083497","3.0","ERS1370013","MGYS00001282","metagenomic",,"ERR1662188",
"MGYA00083199","3.0","ERS1370025","MGYS00001282","metagenomic",,"ERR1662291",
"MGYA00104099","3.0","ERS614327","MGYS00001609","metagenomic",,"ERR694110",
"MGYA00133889","3.0","ERS489603","MGYS00001918","metagenomic",,"ERR594394",
"MGYA00126331","3.0","SRS085686","MGYS00000355","metagenomic",,"SRR062159",
