"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00113516","3.0","ERS199364","MGYS00001705","metagenomic",,"ERR209838",
"MGYA00129019","3.0","ERS473281","MGYS00001799","metagenomic",,"ERR525946",
"MGYA00084491","3.0","ERS1374927","MGYS00001303","metagenomic",,"ERR1681535",
"MGYA00115036","3.0","ERS199067","MGYS00001705","metagenomic",,"ERR209204",
"MGYA00115088","3.0","ERS199099","MGYS00001705","metagenomic",,"ERR209309",
"MGYA00067622","3.0","SRS943649","MGYS00001174","metagenomic",,"SRR2037090",
"MGYA00115005","3.0","ERS199115","MGYS00001705","metagenomic",,"ERR209385",
"MGYA00114317","3.0","ERS199064","MGYS00001705","metagenomic",,"ERR209199",
"MGYA00128682","3.0","ERS473151","MGYS00001799","metagenomic",,"ERR525816",
"MGYA00114399","3.0","ERS199120","MGYS00001705","metagenomic",,"ERR209403",
"MGYA00114545","3.0","ERS199096","MGYS00001705","metagenomic",,"ERR210147",
"MGYA00114170","3.0","ERS199235","MGYS00001705","metagenomic",,"ERR209618",
"MGYA00114968","3.0","ERS199142","MGYS00001705","metagenomic",,"ERR209467",
"MGYA00128818","3.0","ERS473098","MGYS00001799","metagenomic",,"ERR525763",
"MGYA00113634","3.0","ERS199317","MGYS00001705","metagenomic",,"ERR209754",
"MGYA00102895","3.0","ERS1138749","MGYS00001556","metagenomic",,"ERR1398138",
"MGYA00103000","3.0","ERS1138804","MGYS00001556","metagenomic",,"ERR1398141",
"MGYA00103034","3.0","ERS1138862","MGYS00001556","metagenomic",,"ERR1398200",
"MGYA00113670","3.0","ERS199234","MGYS00001705","metagenomic",,"ERR209617",
"MGYA00103005","3.0","ERS1138818","MGYS00001556","metagenomic",,"ERR1398259",
"MGYA00114282","3.0","ERS199075","MGYS00001705","metagenomic",,"ERR209221",
"MGYA00102883","3.0","ERS1138835","MGYS00001556","metagenomic",,"ERR1398147",
"MGYA00102867","3.0","ERS1138799","MGYS00001556","metagenomic",,"ERR1398108",
"MGYA00096040","3.0","ERS1069654","MGYS00001420","metagenomic",,"ERR1297821",
"MGYA00102987","3.0","ERS1138748","MGYS00001556","metagenomic",,"ERR1398192",
"MGYA00114241","3.0","ERS199378","MGYS00001705","metagenomic",,"ERR209863",
"MGYA00115055","3.0","ERS199169","MGYS00001705","metagenomic",,"ERR209515",
"MGYA00114261","3.0","ERS199070","MGYS00001705","metagenomic",,"ERR209212",
"MGYA00096192","3.0","ERS1069650","MGYS00001420","metagenomic",,"ERR1297663",
"MGYA00102956","3.0","ERS1138865","MGYS00001556","metagenomic",,"ERR1398146",
"MGYA00113603","3.0","ERS199240","MGYS00001705","metagenomic",,"ERR209625",
"MGYA00128831","3.0","ERS473038","MGYS00001799","metagenomic",,"ERR525703",
"MGYA00128632","3.0","ERS473278","MGYS00001799","metagenomic",,"ERR525943",
"MGYA00095881","3.0","ERS1069649","MGYS00001420","metagenomic",,"ERR1297697",
"MGYA00114506","3.0","ERS199383","MGYS00001705","metagenomic",,"ERR209879",
"MGYA00129022","3.0","ERS473074","MGYS00001799","metagenomic",,"ERR525739",
"MGYA00114910","3.0","ERS199130","MGYS00001705","metagenomic",,"ERR209444",
"MGYA00114793","3.0","ERS199105","MGYS00001705","metagenomic",,"ERR209342",
"MGYA00114348","3.0","ERS199193","MGYS00001705","metagenomic",,"ERR209550",
"MGYA00114947","3.0","ERS199151","MGYS00001705","metagenomic",,"ERR209477",
"MGYA00114126","3.0","ERS199369","MGYS00001705","metagenomic",,"ERR209848",
"MGYA00128946","3.0","ERS473041","MGYS00001799","metagenomic",,"ERR525706",
"MGYA00089077","3.0","ERS1462084","MGYS00001342","metagenomic",,"ERR1744185",
"MGYA00114698","3.0","ERS199274","MGYS00001705","metagenomic",,"ERR209681",
"MGYA00113981","3.0","ERS199076","MGYS00001705","metagenomic",,"ERR209223",
"MGYA00114667","3.0","ERS199077","MGYS00001705","metagenomic",,"ERR209225",
"MGYA00113549","3.0","ERS199043","MGYS00001705","metagenomic",,"ERR209157",
"MGYA00071223","3.0","ERS1336042","MGYS00001209","metagenomic",,"ERR1611414",
"MGYA00102503","3.0","ERS1546047","MGYS00001537","metagenomic",,"ERR1823603",
"MGYA00095887","3.0","ERS1069644","MGYS00001420","metagenomic",,"ERR1297724",
"MGYA00114393","3.0","ERS199333","MGYS00001705","metagenomic",,"ERR209786",
"MGYA00113728","3.0","ERS199243","MGYS00001705","metagenomic",,"ERR209633",
"MGYA00114852","3.0","ERS199363","MGYS00001705","metagenomic",,"ERR209849",
"MGYA00128664","3.0","ERS473261","MGYS00001799","metagenomic",,"ERR525926",
"MGYA00115052","3.0","ERS199095","MGYS00001705","metagenomic",,"ERR210140",
